x-axis,1,2,3
second,Volt,Volt,Volt
-339.35000E-06,+1.13281250000E+00,+105.46875000E-03,+4.98242187500E+00
-339.30000E-06,+1.13378906250E+00,+132.81250000E-03,+4.97656250000E+00
-339.25000E-06,+1.13183593750E+00,+123.04687500E-03,+4.96875000000E+00
-339.20000E-06,+1.12988281250E+00,+105.46875000E-03,+4.97656250000E+00
-339.15000E-06,+1.13281250000E+00,+117.18750000E-03,+4.97070312500E+00
-339.10000E-06,+1.13085937500E+00,+107.42187500E-03,+4.97265625000E+00
-339.05000E-06,+1.12890625000E+00,+97.65625000E-03,+4.98242187500E+00
-339.00000E-06,+1.12988281250E+00,+125.00000000E-03,+4.98632812500E+00
-338.95000E-06,+1.13281250000E+00,+119.14062500E-03,+4.98632812500E+00
-338.90000E-06,+1.12792968750E+00,+101.56250000E-03,+4.98828125000E+00
-338.85000E-06,+1.12988281250E+00,+117.18750000E-03,+4.98242187500E+00
-338.80000E-06,+1.13085937500E+00,+128.90625000E-03,+4.97851562500E+00
-338.75000E-06,+1.13183593750E+00,+105.46875000E-03,+4.97656250000E+00
-338.70000E-06,+1.12988281250E+00,+123.04687500E-03,+4.97265625000E+00
-338.65000E-06,+1.12890625000E+00,+125.00000000E-03,+4.97851562500E+00
-338.60000E-06,+1.12695312500E+00,+107.42187500E-03,+4.96093750000E+00
-338.55000E-06,+1.12304687500E+00,+103.51562500E-03,+4.98437500000E+00
-338.50000E-06,+1.13085937500E+00,+119.14062500E-03,+4.96875000000E+00
-338.45000E-06,+1.12500000000E+00,+115.23437500E-03,+4.97460937500E+00
-338.40000E-06,+1.12500000000E+00,+99.60937500E-03,+4.97265625000E+00
-338.35000E-06,+1.12988281250E+00,+123.04687500E-03,+4.97070312500E+00
-338.30000E-06,+1.12695312500E+00,+123.04687500E-03,+4.98046875000E+00
-338.25000E-06,+1.12304687500E+00,+113.28125000E-03,+4.97656250000E+00
-338.20000E-06,+1.12109375000E+00,+123.04687500E-03,+4.98828125000E+00
-338.15000E-06,+1.11914062500E+00,+134.76562500E-03,+5.00000000000E+00
-338.10000E-06,+1.12500000000E+00,+111.32812500E-03,+4.97070312500E+00
-338.05000E-06,+1.12500000000E+00,+103.51562500E-03,+4.98242187500E+00
-338.00000E-06,+1.12304687500E+00,+113.28125000E-03,+4.97460937500E+00
-337.95000E-06,+1.12109375000E+00,+101.56250000E-03,+4.98437500000E+00
-337.90000E-06,+1.12304687500E+00,+87.89062500E-03,+4.97460937500E+00
-337.85000E-06,+1.12109375000E+00,+119.14062500E-03,+4.97460937500E+00
-337.80000E-06,+1.11816406250E+00,+121.09375000E-03,+4.97070312500E+00
-337.75000E-06,+1.12011718750E+00,+105.46875000E-03,+4.98046875000E+00
-337.70000E-06,+1.12011718750E+00,+109.37500000E-03,+4.99804687500E+00
