time	V(n003)	V(n004)
4.000000117849645e+000	-2.592029e-001	8.924822e-001
4.000000127439687e+000	-2.593225e-001	1.371984e+000
4.000000137909734e+000	-2.595501e-001	1.895487e+000
4.000000149089289e+000	-2.599110e-001	2.454464e+000
4.000000164246597e+000	-2.605540e-001	3.212330e+000
4.000000181820501e+000	-2.614301e-001	4.091025e+000
4.000000200000000e+000	-2.624037e-001	5.000000e+000
4.000000212725650e+000	-2.630507e-001	5.000000e+000
4.000000223094787e+000	-2.634624e-001	5.000000e+000
4.000000234858003e+000	-2.637720e-001	5.000000e+000
4.000000246876209e+000	-2.638914e-001	5.000000e+000
4.000000260238522e+000	-2.637987e-001	5.000000e+000
4.000000275519731e+000	-2.634666e-001	5.000000e+000
4.000000291938557e+000	-2.629282e-001	5.000000e+000
4.000000314853207e+000	-2.620517e-001	5.000000e+000
4.000000334588644e+000	-2.613085e-001	5.000000e+000
4.000000377028578e+000	-2.600925e-001	5.000000e+000
4.000000399937816e+000	-2.596975e-001	5.000000e+000
4.000000428178072e+000	-2.594137e-001	5.000000e+000
4.000000463623619e+000	-2.592438e-001	5.000000e+000
4.000000599188766e+000	-2.591529e-001	5.000000e+000
4.003420411002884e+000	-2.140132e-001	5.000000e+000
4.006840222817003e+000	-1.690240e-001	5.000000e+000
4.010260034631121e+000	-1.241852e-001	5.000000e+000
4.013679846445240e+000	-7.949694e-002	5.000000e+000
4.017099658259358e+000	-3.495915e-002	5.000000e+000
4.020519470073476e+000	9.428157e-003	5.000000e+000
4.023939281887595e+000	5.366499e-002	5.000000e+000
4.024039281887594e+000	5.495637e-002	5.000000e+000
4.038653567601846e+000	2.422351e-001	5.000000e+000
4.053267853316098e+000	4.269416e-001	5.000000e+000
4.067882139030349e+000	6.090758e-001	5.000000e+000
4.082496424744601e+000	7.886376e-001	5.000000e+000
4.097110710458852e+000	9.656272e-001	5.000000e+000
4.111724996173105e+000	1.140044e+000	5.000000e+000
4.126339281887356e+000	1.311889e+000	5.000000e+000
4.126439281887356e+000	1.313057e+000	5.000000e+000
4.141053567601607e+000	1.482448e+000	5.000000e+000
4.155667853315859e+000	1.649511e+000	5.000000e+000
4.170282139030110e+000	1.814248e+000	5.000000e+000
4.184896424744363e+000	1.976658e+000	5.000000e+000
4.199510710458614e+000	2.136742e+000	5.000000e+000
4.214124996172866e+000	2.294499e+000	5.000000e+000
4.228739281887117e+000	2.449929e+000	5.000000e+000
4.228839281887117e+000	2.450986e+000	5.000000e+000
4.243453567601368e+000	2.604196e+000	5.000000e+000
4.258067853315620e+000	2.755302e+000	5.000000e+000
4.272682139029872e+000	2.904303e+000	5.000000e+000
4.287296424744124e+000	3.051200e+000	5.000000e+000
4.301910710458375e+000	3.195993e+000	5.000000e+000
4.316524996172627e+000	3.338681e+000	5.000000e+000
4.331139281886879e+000	3.479265e+000	5.000000e+000
4.331239281886878e+000	3.480220e+000	5.000000e+000
4.345853567601130e+000	3.618796e+000	5.000000e+000
4.360467853315382e+000	3.755468e+000	5.000000e+000
4.375082139029633e+000	3.890237e+000	5.000000e+000
4.389696424743885e+000	4.023103e+000	5.000000e+000
4.404310710458137e+000	4.154065e+000	5.000000e+000
4.418924996172389e+000	4.283123e+000	5.000000e+000
4.433539281886640e+000	4.410279e+000	5.000000e+000
4.433639281886640e+000	4.411143e+000	5.000000e+000
4.440567853315195e+000	4.470816e+000	5.000000e+000
4.447496424743751e+000	4.530089e+000	5.000000e+000
4.454424996172306e+000	4.588963e+000	5.000000e+000
4.461353567600860e+000	4.647438e+000	5.000000e+000
4.468282139029416e+000	4.705513e+000	5.000000e+000
4.475210710457971e+000	4.763190e+000	5.000000e+000
4.482139281886527e+000	4.820467e+000	5.000000e+000
4.483239281886524e+000	4.829525e+000	5.000000e+000
4.484339281886522e+000	4.838564e+000	5.000000e+000
4.485439281886519e+000	4.847583e+000	5.000000e+000
4.486539281886516e+000	4.856582e+000	5.000000e+000
4.487639281886514e+000	4.865561e+000	5.000000e+000
4.488739281886511e+000	4.874521e+000	5.000000e+000
4.489839281886509e+000	4.883461e+000	5.000000e+000
4.490496424743650e+000	4.888787e+000	5.000000e+000
4.491153567600791e+000	4.894089e+000	5.000000e+000
4.491810710457933e+000	4.899365e+000	5.000000e+000
4.492467853315074e+000	4.904616e+000	5.000000e+000
4.493124996172216e+000	4.909843e+000	5.000000e+000
4.493782139029356e+000	4.915045e+000	5.000000e+000
4.494439281886498e+000	4.920221e+000	5.000000e+000
4.494953567600782e+000	4.924245e+000	5.000000e+000
4.495467853315067e+000	4.928229e+000	5.000000e+000
4.495982139029351e+000	4.932171e+000	5.000000e+000
4.496496424743636e+000	4.936073e+000	5.000000e+000
4.497010710457920e+000	4.939933e+000	5.000000e+000
4.497524996172206e+000	4.943753e+000	5.000000e+000
4.498039281886490e+000	4.947533e+000	5.000000e+000
4.498319413045563e+000	4.949563e+000	5.000000e+000
4.498599544204636e+000	4.951572e+000	5.000000e+000
4.498879675363709e+000	4.953560e+000	5.000000e+000
4.499159806522781e+000	4.955528e+000	5.000000e+000
4.499439937681854e+000	4.957476e+000	5.000000e+000
4.499720068840927e+000	4.959402e+000	5.000000e+000
4.500000200000000e+000	4.961308e+000	5.000000e+000
4.500000230000000e+000	4.961364e+000	3.500000e+000
4.500000260000001e+000	4.961524e+000	2.000000e+000
4.500000300000000e+000	4.961871e+000	1.373401e-008
4.500000357483069e+000	4.962256e+000	6.223859e-009
4.500000414966139e+000	4.962516e+000	5.630909e-010
4.500000472449208e+000	4.962652e+000	-3.248294e-009
4.500000529932277e+000	4.962663e+000	-5.210295e-009
4.500000587415346e+000	4.962549e+000	-5.322913e-009
4.500000644898416e+000	4.962311e+000	-3.586148e-009
4.500000702381485e+000	4.961948e+000	0.000000e+000
4.500000812370428e+000	4.961747e+000	0.000000e+000
4.500001032348314e+000	4.961519e+000	0.000000e+000
4.500001330946451e+000	4.961376e+000	0.000000e+000
4.500002175799261e+000	4.961298e+000	0.000000e+000
4.500327162091569e+000	4.957713e+000	0.000000e+000
4.500652148383877e+000	4.954072e+000	0.000000e+000
4.500977134676186e+000	4.950374e+000	0.000000e+000
4.501302120968495e+000	4.946619e+000	0.000000e+000
4.501627107260803e+000	4.942808e+000	0.000000e+000
4.501952093553111e+000	4.938940e+000	0.000000e+000
4.502277079845420e+000	4.935015e+000	0.000000e+000
4.502619936988276e+000	4.930837e+000	0.000000e+000
4.502962794131133e+000	4.926633e+000	0.000000e+000
4.503305651273989e+000	4.922403e+000	0.000000e+000
4.503648508416845e+000	4.918148e+000	0.000000e+000
4.503991365559701e+000	4.913866e+000	0.000000e+000
4.504334222702558e+000	4.909559e+000	0.000000e+000
4.504677079845414e+000	4.905227e+000	0.000000e+000
4.505177079845413e+000	4.898887e+000	0.000000e+000
4.505677079845412e+000	4.892535e+000	0.000000e+000
4.506177079845410e+000	4.886170e+000	0.000000e+000
4.506677079845409e+000	4.879794e+000	0.000000e+000
4.507177079845408e+000	4.873405e+000	0.000000e+000
4.507677079845407e+000	4.867004e+000	0.000000e+000
4.508177079845406e+000	4.860591e+000	0.000000e+000
4.509291365559689e+000	4.846299e+000	0.000000e+000
4.510405651273972e+000	4.832016e+000	0.000000e+000
